timestamp,SCALED_IMU2.time_boot_ms,SCALED_IMU2.xacc,SCALED_IMU2.yacc,SCALED_IMU2.zacc,SCALED_IMU2.xgyro,SCALED_IMU2.ygyro,SCALED_IMU2.zgyro,SCALED_IMU2.xmag,SCALED_IMU2.ymag,SCALED_IMU2.zmag,SCALED_IMU2.temperature
1437196035.87708402,213184,41,-5,-1001,17,-23,10,102,238,-546,0
1437196036.25122404,213546,38,-1,-972,17,-10,10,103,232,-544,0
1437196036.46915197,213907,43,0,-991,20,-19,5,102,236,-547,0
1437196036.74038386,214268,41,10,-1000,16,-15,4,102,238,-543,0
1437196037.06243992,214629,40,-2,-996,20,-11,9,104,234,-547,0
1437196037.37570786,214990,44,-14,-997,22,-14,8,103,235,-548,0
1437196037.74188805,215352,44,-2,-999,17,-17,8,103,235,-548,0
1437196037.97985601,215674,30,-4,-998,21,-16,6,104,235,-546,0
1437196038.28997993,215995,37,0,-1011,14,-16,4,103,236,-548,0
1437196038.62340403,216317,35,-6,-1000,17,-22,9,103,235,-547,0
1437196038.98527598,216638,44,6,-1003,16,-11,4,104,234,-542,0
1437196039.39841986,216919,44,-4,-995,15,-20,10,103,234,-543,0
1437196039.81347203,217199,38,0,-998,19,-16,4,101,239,-545,0
1437196040.25495601,217481,43,-9,-984,16,-16,6,104,235,-547,0
1437196040.58229995,217763,47,-8,-995,19,-13,0,102,236,-540,0
1437196040.89507985,218044,45,-6,-1000,20,-22,14,103,233,-543,0
1437196041.46941590,218686,47,-12,-1006,14,-19,14,104,233,-542,0
1437196041.68951201,219007,39,-9,-995,19,-20,13,102,237,-546,0
1437196041.95351195,219370,41,-8,-1003,20,-19,8,103,237,-547,0
1437196042.35771203,219732,39,-2,-990,17,-22,1,103,235,-543,0
1437196042.77084398,220094,49,-4,-997,18,-20,8,104,236,-547,0
1437196043.18798399,220456,48,-1,-995,22,-22,3,104,235,-547,0
1437196043.55014801,220817,39,5,-994,16,-18,7,102,235,-541,0
1437196043.78928399,221178,32,-1,-989,22,-24,4,102,236,-539,0
1437196044.06233597,221580,41,-6,-996,17,-19,6,104,236,-547,0
1437196044.39657187,221983,43,-3,-1000,14,-14,10,101,236,-539,0
1437196044.74478793,222385,39,3,-997,17,-20,9,103,235,-547,0
1437196045.09798789,222786,41,3,-993,19,-22,11,103,238,-546,0
1437196045.51117587,223187,41,-5,-995,20,-10,12,103,235,-545,0
1437196045.92232394,223589,45,3,-998,8,-19,2,103,236,-548,0
1437196046.36647201,223950,43,2,-1002,19,-16,14,103,232,-544,0
1437196046.75180387,224312,42,-1,-992,18,-16,9,101,238,-544,0
1437196047.06852794,224674,37,0,-994,15,-19,5,102,238,-546,0
1437196047.32688403,225035,34,-9,-990,15,-20,1,101,238,-542,0
1437196047.78496003,225396,50,-6,-1003,17,-16,13,102,235,-542,0
1437196048.12637997,225717,39,-14,-998,17,-17,7,103,237,-547,0
1437196048.36623192,226038,30,1,-996,22,-12,10,102,237,-546,0
1437196048.71232796,226360,34,3,-1005,20,-14,12,102,235,-541,0
1437196049.06258798,226641,41,-3,-1006,19,-26,8,103,233,-546,0
1437196049.30354404,226923,41,-7,-993,17,-12,6,103,238,-545,0
1437196049.65130782,227205,43,-7,-990,14,-14,8,103,237,-541,0
1437196049.89482403,227486,47,-5,-988,22,-20,11,105,235,-548,0
1437196050.20892787,227767,44,2,-997,22,-15,11,102,237,-544,0
1437196050.62222004,228048,45,-4,-994,18,-21,4,104,235,-547,0
1437196050.84974384,228329,41,-10,-990,19,-17,7,102,239,-542,0
1437196051.19738793,228611,36,-8,-993,20,-15,13,104,236,-547,0
1437196051.62254000,228893,40,-4,-1007,17,-20,5,103,238,-545,0
1437196051.86068392,229174,46,-6,-995,19,-15,13,103,239,-543,0
1437196052.45002389,229736,33,-1,-996,16,-12,12,104,233,-543,0
1437196052.69099593,230017,42,-8,-1000,21,-18,8,104,235,-547,0
1437196052.91705990,230338,37,-5,-991,20,-17,13,103,238,-542,0
1437196053.34130383,230660,46,-8,-997,18,-21,1,105,233,-541,0
1437196053.67951584,230983,45,-6,-997,18,-16,6,103,238,-543,0
1437196054.15652394,231304,38,-11,-995,16,-18,6,102,239,-545,0
1437196054.50804782,231625,47,13,-989,18,-21,8,104,236,-547,0
1437196054.98098397,231946,39,-6,-998,18,-15,7,103,239,-545,0
1437196055.36911201,232308,41,-13,-1005,19,-13,11,102,239,-546,0
1437196055.60281992,232669,37,-10,-989,16,-11,7,104,235,-547,0
1437196056.01537204,233031,40,-5,-998,16,-8,4,101,238,-543,0
1437196056.36946797,233393,45,-3,-1005,11,-12,8,103,239,-543,0
