timestamp,GLOBAL_POSITION_INT.time_boot_ms,GLOBAL_POSITION_INT.lat,GLOBAL_POSITION_INT.lon,GLOBAL_POSITION_INT.alt,GLOBAL_POSITION_INT.relative_alt,GLOBAL_POSITION_INT.vx,GLOBAL_POSITION_INT.vy,GLOBAL_POSITION_INT.vz,GLOBAL_POSITION_INT.hdg
1437195991.27154398,168624,-352081008,1490435179,1760,1760,-17,-16,1,31745
1437195991.53259587,169027,-352081006,1490435171,1780,1780,-16,-15,1,31744
1437195991.94677591,169429,-352081009,1490435164,1770,1770,-16,-16,1,31744
1437195992.30790401,169629,-352081008,1490435160,1760,1760,-15,-15,1,31741
1437195992.57307196,170032,-352081020,1490435151,1740,1740,-15,-16,0,31740
1437195992.98021984,170434,-352081025,1490435149,1710,1710,-14,-15,0,31739
1437195993.39448404,170635,-352081027,1490435146,1680,1680,-14,-16,-2,31738
1437195993.81554389,171037,-352081028,1490435141,1650,1650,-13,-16,-2,31737
1437195994.12864399,171439,-352081029,1490435134,1630,1630,-13,-16,-3,31737
1437195994.47775984,171640,-352081030,1490435130,1610,1610,-13,-16,-3,31736
1437195994.71490383,172042,-352081047,1490435120,1590,1590,-13,-16,-4,31735
1437195994.95012784,172424,-352081042,1490435117,1590,1590,-13,-16,-4,31735
1437195995.25397992,172624,-352081053,1490435104,1580,1580,-13,-16,-4,31734
1437195995.48516393,173026,-352081065,1490435097,1580,1580,-13,-16,-3,31733
1437195995.83146405,173227,-352081074,1490435095,1570,1570,-13,-16,-3,31733
1437195996.10548782,173630,-352081068,1490435094,1560,1560,-12,-15,-3,31733
1437195996.45268393,174032,-352081075,1490435093,1550,1550,-13,-16,-3,31730
1437195996.75665593,174233,-352081067,1490435083,1540,1540,-13,-16,-2,31729
1437195997.13984799,174634,-352081072,1490435082,1530,1530,-13,-16,-2,31729
1437195997.48608398,174835,-352081075,1490435078,1500,1500,-13,-15,-3,31728
1437195997.73609591,175237,-352081061,1490435074,1490,1490,-13,-14,-3,31725
