timestamp,SCALED_PRESSURE.time_boot_ms,SCALED_PRESSURE.press_abs,SCALED_PRESSURE.press_diff,SCALED_PRESSURE.temperature,SCALED_PRESSURE.temperature_press_diff
1437197811.09592390,427533,959.911376953125,-0.84242182970047,3372,0
1437197811.46899986,427856,959.8784790039062,-0.8753125071525574,3368,0
1437197811.71717191,428179,959.845703125,-0.9081249833106995,3364,0
1437197811.98896003,428501,959.7927856445312,-0.9610155820846558,3358,0
1437197812.40736794,428822,959.7736206054688,-0.9801562428474426,3352,0
1437197812.75982785,429144,959.7470092773438,-1.0067968368530273,3348,0
1437197813.03864384,429465,959.7161254882812,-1.0376561880111694,3346,0
1437197813.44595194,429787,959.7186279296875,-1.03515625,3342,0
1437197813.79297590,430111,959.7350463867188,-1.0187499523162842,3337,0
1437197814.06327200,430434,959.7327880859375,-1.0210156440734863,3332,0
1437197814.48325586,430757,959.764892578125,-0.98890620470047,3329,0
1437197814.83050799,431080,959.8316040039062,-0.9221875071525574,3323,0
1437197815.09994793,431403,959.9199829101562,-0.8338280916213989,3318,0
1437197815.63071990,431727,959.911376953125,-0.84242182970047,3312,0
1437197815.93278003,432050,959.8800048828125,-0.873828113079071,3305,0
1437197816.37784791,432373,959.8499755859375,-0.9038280844688416,3298,0
1437197816.66112399,432696,959.8585205078125,-0.895312488079071,3293,0
1437197816.93633604,433019,959.8828735351562,-0.8709374666213989,3287,0
1437197817.17736387,433384,959.9356689453125,-0.8181250095367432,3278,0
1437197817.57059598,433748,959.9656982421875,-0.7881249785423279,3269,0
1437197817.98580384,434111,959.94140625,-0.8124218583106995,3262,0
1437197818.41712785,434475,959.931640625,-0.8221874833106995,3253,0
1437197818.68918800,434837,959.9365234375,-0.8172656297683716,3248,0
1437197819.02317190,435201,959.9314575195312,-0.8223437070846558,3242,0
1437197819.43603182,435607,959.9166870117188,-0.8371093273162842,3237,0
1437197819.68234801,436013,959.8756713867188,-0.8781249523162842,3231,0
1437197819.93852401,436417,959.874267578125,-0.87953120470047,3227,0
1437197820.39334798,436822,959.8399658203125,-0.9138280749320984,3222,0
1437197820.72005582,437224,959.8284912109375,-0.9253124594688416,3217,0
1437197821.08419991,437627,959.817138671875,-0.9366406202316284,3214,0
1437197821.52844787,437988,959.7815551757812,-0.9722656011581421,3209,0
1437197821.85936403,438351,959.7982788085938,-0.9555468559265137,3205,0
1437197822.17360401,438715,959.7799072265625,-0.9739062190055847,3199,0
1437197822.48032403,439078,959.7699584960938,-0.9838281273841858,3195,0
1437197822.84304404,439441,959.7799682617188,-0.9738280773162842,3191,0
1437197823.28105593,439803,959.7999267578125,-0.953906238079071,3189,0
1437197823.80438805,440125,959.7971801757812,-0.9566406011581421,3185,0
1437197824.12257195,440448,959.8027954101562,-0.9510155916213989,3182,0
