timestamp,POWER_STATUS.Vcc,POWER_STATUS.Vservo,POWER_STATUS.flags
1437196141.04677200,5194,5527,3
1437196141.50200796,5136,5525,3
1437196141.80907583,5156,5522,3
1437196142.04724383,5188,5522,3
1437196142.39843583,5162,5527,3
1437196142.74048400,5143,5527,3
1437196143.02160001,5173,5527,3
1437196143.36273599,5164,5532,3
1437196143.70582390,5144,5527,3
1437196143.95705199,5170,5530,3
1437196144.47305989,5175,5530,3
1437196144.81526804,5143,5527,3
1437196145.05459595,5172,5532,3
1437196145.37256789,5169,5530,3
1437196145.86579585,5182,5527,3
1437196146.26704001,5136,5530,3
1437196146.54408002,5144,5527,3
1437196146.87817192,5156,5525,3
1437196147.26437998,5175,5525,3
1437196147.68671989,5169,5532,3
1437196148.09272003,5136,5530,3
1437196148.55292392,5162,5530,3
1437196148.78398800,5148,5527,3
1437196149.11399984,5175,5525,3
1437196149.36727190,5169,5530,3
1437196149.74741197,5159,5522,3
1437196150.12568402,5175,5525,3
1437196150.57692790,5169,5532,3
1437196150.83194399,5146,5527,3
1437196151.23816395,5175,5522,3
1437196151.54613185,5194,5527,3
1437196151.82027984,5143,5527,3
1437196152.26650000,5175,5532,3
1437196152.55153584,5175,5525,3
1437196152.86474395,5169,5527,3
1437196153.27002382,5194,5530,3
1437196153.69307184,5169,5530,3
1437196154.10016799,5175,5530,3
1437196154.62349987,5162,5527,3
1437196154.92760396,5153,5522,3
1437196155.34075189,5185,5525,3
1437196155.65908384,5151,5520,3
1437196155.96208000,5162,5527,3
1437196156.23118782,5156,5522,3
1437196156.55641603,5169,5525,3
1437196156.89947605,5185,5527,3
1437196157.13961983,5143,5527,3
1437196157.38559198,5143,5525,3
1437196157.93308401,5162,5527,3
1437196158.44518805,5149,5525,3
1437196158.79329586,5172,5517,3
1437196159.30739188,5182,5527,3
1437196159.65069604,5172,5530,3
1437196160.10093188,5162,5530,3
1437196160.56500387,5156,5527,3
1437196160.79810786,5156,5527,3
1437196161.04223990,5132,5525,3
1437196161.38150001,5162,5532,3
1437196161.71563196,5175,5525,3
1437196162.04060793,5156,5525,3
1437196162.41679597,5151,5530,3
1437196162.75090003,5177,5525,3
1437196163.07599998,5185,5534,3
1437196163.45226383,5156,5527,3
1437196163.78641200,5183,5532,3
1437196164.14450002,5182,5532,3
1437196164.41263986,5161,5530,3
1437196164.86585188,5183,5530,3
1437196165.28109193,5144,5527,3
1437196165.73333192,5169,5525,3
1437196166.03834391,5162,5522,3
1437196166.28539205,5153,5530,3
1437196166.72459602,5138,5520,3
1437196188.36633587,5151,5532,3
1437196188.58543992,5156,5532,3
1437196188.89471984,5138,5525,3
1437196189.16865587,5169,5525,3
1437196189.48478389,5162,5530,3
1437196189.72402000,5175,5527,3
1437196190.14011192,5149,5527,3
1437196190.40824795,5198,5546,3
1437196190.70123196,5175,5522,3
1437196191.05237198,5169,5532,3
1437196191.36962390,5149,5530,3
1437196191.65482783,5169,5530,3
1437196191.93983603,5148,5525,3
1437196192.17697597,5183,5530,3
1437196192.41599202,5146,5522,3
1437196192.77431989,5151,5527,3
1437196193.00633597,5162,5525,3
1437196193.25237989,5154,5525,3
1437196193.51757193,5143,5525,3
1437196193.85469198,5136,5525,3
1437196194.35288787,5183,5525,3
1437196194.67809987,5170,5527,3
1437196195.07618785,5148,5520,3
1437196195.39630795,5151,5522,3
1437196195.80245996,5149,5530,3
1437196196.12171602,5164,5527,3
1437196196.59283590,5149,5522,3
1437196196.93894792,5143,5527,3
1437196197.18413997,5182,5530,3
1437196197.62627602,5172,5517,3
1437196198.03935194,5146,5520,3
1437196198.48356390,5170,5546,3
1437196198.77364802,5172,5522,3
1437196199.00780797,5156,5525,3
1437196199.48605204,5154,5525,3
1437196199.83417201,5175,5527,3
1437196200.07319999,5170,5530,3
1437196200.34850001,5156,5534,3
1437196200.63350797,5170,5542,3
1437196200.97758389,5162,5530,3
1437196201.29475188,5162,5530,3
1437196201.59888005,5183,5530,3
1437196201.93321204,5161,5530,3
1437196202.32223988,5156,5530,3
1437196202.91138792,5144,5520,3
1437196203.26552391,5182,5525,3
1437196203.50068784,5173,5527,3
1437196203.73966384,5162,5530,3
1437196204.16299200,5169,5525,3
1437196204.50107193,5175,5527,3
1437196204.72901988,5161,5527,3
1437196205.05060387,5162,5522,3
1437196205.31945586,5157,5530,3
1437196205.61349201,5162,5530,3
1437196206.14979982,5162,5522,3
1437196206.46501994,5173,5530,3
1437196206.71197605,5162,5532,3
